ExternalId,BetlabEventKey,NameLng1,NameText1,NameLng2,NameText2,GroupCommentLng1,GroupCommentText1,GroupCommentLng2,GroupCommentText2
31229413,PT2938:PR63400:PR87010:1522348200,en,Serie D|:Potenza - USD San Severo,ru,Серия D|:Потенца - Сан-Северо,,,,
31244054,PT2384:PR7739:PR11933:1522504800,en,Southern Premier League|:Bishops Stortford - Merthyr Town,ru,Южная Премьер-лига|:Бишоп Стортфорд - Мертир Таун,,,,
31226806,PT750:PR2197:PR73657:1522458000,en,Primera Division|:Alianza Lima - Ayacucho FC,ru,Примера Дивизион|:Альянса Лима - Аякучо,,,,
31226275,PT481:PR16709:1522866600,en,Champions League|2017/18. Winner:ZAKSA Kedzierzyn-Kozle(POL),ru,Лига Чемпионов|2017/18. Победитель:Кендзежин-Козле(POL),,,,
31229069,PT2771:PR116284:PR138029:1522288800,en,|GPL:Ascension - Bigetron E-Sports,ru,|Лига Легенд. GPL:Ascension - Bigetron E-Sports,,,,
31229301,PT2928:PR7628:1529222400,en,Serie A 2017/18. Futures|:Sidigas Avellino,ru,Серия A 2017/18. Итоги|:Авеллино,ru,остальные по запросу,en,Others on request
31226178,PT425:PR14534:1524301200,en,Snooker|World Championship 2018. Futures:Ryan Day,ru,Снукер|World Championship 2018. Итоги турнира:Райан Дэй,,,,
31239893,PT2792:PR77454:PR106987:1522309500,en,|DAC:Team Secret - Effect,ru,|DAC:Team Secret - Effect,,,,
31225862,PT157:PR1866:PR19520:1522347300,en,NLA|:HC Lugano - EHC Biel,ru,NLA|:Лугано - Биль,,,,
31226706,PT688:PR38462:PR36524:1522422000,en,Liga I|:Concordia Chiajna - FC Botosani,ru,Лига 1|:Конкордия Кьяжна - Ботошани,,,,
31228880,PT2583:PR50991:1527792300,en,Pro14|Futures:Cheetahs(ZAF),ru,Про14|Итоги:Читаз(ZAF),,,,
31227197,PT974:PR5978:PR5980:1528988400,en,World Cup|:Russia - Saudi Arabia,ru,Чемпионат Мира|2018:Россия - Саудовская Аравия,,,,
31229783,PT3148:PU12158452:1530122400,en,FIFA World Cup 2018. Winner|Football. FIFA World Cup 2018. Group E:Brazil,ru,Чемпионат мира 2018. Победитель|Футбол. Группа E:Бразилия ,,,,
31225188,PT14:PR133:PR135:1522615500,en,Primera Division|:Boca Juniors - Talleres Cordoba,ru,Примера дивизион|:Бока Хуниорс - Тальерес,,,,
31224849,PT1:PR30169:PR6486:1522494000,en,Premier League|:Zirka Kropyvnytskyi - FC Oleksandriya,ru,Премьер-лига|:Зирка Кропивницкий - Александрия,,,,
31226891,PT814:PR23999:PR132884:1522764900,en,AFC Champions League|:Zob Ahan(IRN) - Al-Duhail(QAT),ru,Лига Чемпионов Азии|:Зоб Ахан(IRN) - Аль-Духаиль(QAT),,,,
31227207,PT974:PR5851:PR5858:1529258400,en,World Cup|:Brazil - Switzerland,ru,Чемпионат Мира|2018:Бразилия - Швейцария,,,,
31228259,PT2346:PR29726:PR53026:1522479600,en,Western Australia|National Premier Leagues:Balcatta FC - Subiaco AFC,ru,Западная Австралия|Национальная Премьер-лига:Балкатта - Субиако,,,,
31228912,PT2601:PR33979:PR4179:1522284300,en,Campeonato Goiano|Division 1:Goias EC - AA Anapolina,ru,Лига Гояно|Дивизион 1:Гояс - Анаполина,,,,
31230470,PT3448:PU12816268:1522286940,en,California. Daily 4. 4 from 10|USA:28/03/18,ru,Калифорния. Daily 4. 4 из 10|США:28/03/18 ,,,,
31227522,PT1124:PR135559:PR135543:1522288800,en,NBA. Stats. REB|:Phoenix rebounds - Clippers rebounds,ru,NBA. Статистика. Подборы|:Финикс подборы - Клипперс подборы,,,,
31230472,PT3450:PU12816441:1522299300,en,Play 3. 3 from 10|:29/03/18,ru,Play 3. 3 из 10|:29/03/18 ,,,,
31229690,PT3148:PU11658178:1529935200,en,FIFA World Cup 2018. Winner|Football. FIFA World Cup 2018. Group A:Will miss less goals in the group,ru,Чемпионат мира 2018. Победитель|Футбол. Группа A:Пропустит меньше всех голов в группе ,,,,
31239445,PT1102:PR35345:PR28987:1522285200,en,|Kofu:Kumkhum Luksika - Akita Shiho,ru,|Кофу:Кумхум Луксика - Акита Cихо,,,,
31224996,PT6:PR1430:PR45:1522501200,en,Serie A|:Atalanta - Udinese,ru,Серия А|:Аталанта - Удинезе,,,,
31229124,PT2792:PR75888:1522296000,en,|DAC. Results:TnC,ru,|DAC. Итоги:TnC,,,,
